class,credit_amount,log_credit_amount,checking_status,duration,credit_history,purpose,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,age_bin,duration_bin,is_rent
2,1282.0,7.1569563646156364,<0,24,existing paid,radio/tv,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,26-35,13-24,0
1,2424.0,7.793586803371584,no checking,24,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,46-60,13-24,0
1,8072.0,8.996280439395015,<0,30,no credits/all paid,business,no known savings,<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,18-25,25-36,0
2,12579.0,9.439863530254431,0<=X<200,24,existing paid,used car,<100,>=7,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,36-45,13-24,0
1,3430.0,8.14060704285845,no checking,24,existing paid,radio/tv,500<=X<1000,>=7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,26-35,13-24,0
1,2134.0,7.666221925662725,no checking,9,critical/other existing credit,new car,<100,1<=X<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,46-60,<=12,0
1,2647.0,7.881559917056899,<0,6,existing paid,radio/tv,500<=X<1000,1<=X<4,2,male single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,36-45,<=12,1
1,2241.0,7.715123603632105,<0,10,critical/other existing credit,new car,<100,<1,1,male single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,46-60,<=12,1
1,1804.0,7.498315870766981,0<=X<200,12,critical/other existing credit,used car,100<=X<500,<1,3,male single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,36-45,<=12,0
1,2069.0,7.635303886259415,no checking,10,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,2,male mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,26-35,<=12,0
1,1374.0,7.226209010100671,<0,6,existing paid,furniture/equipment,<100,1<=X<4,1,male single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,36-45,<=12,0
1,426.0,6.056784013228625,no checking,6,no credits/all paid,radio/tv,<100,>=7,4,male mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,36-45,<=12,0
1,409.0,6.016157159698354,>=200,12,all paid,radio/tv,>=1000,1<=X<4,3,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,36-45,<=12,1
1,2415.0,7.789868559054706,0<=X<200,7,existing paid,radio/tv,<100,1<=X<4,3,male single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,26-35,<=12,0
2,6836.0,8.830104317913793,<0,60,delayed previously,business,<100,>=7,3,male single,none,4,no known property,63,none,own,2,skilled,1,yes,yes,60+,37-60,0
1,1913.0,7.5569505720129,0<=X<200,18,existing paid,business,>=1000,<1,3,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,36-45,13-24,0
1,4020.0,8.299285906897275,<0,24,existing paid,furniture/equipment,<100,1<=X<4,2,male single,none,2,car,27,stores,own,1,skilled,1,none,yes,26-35,13-24,0
1,5866.0,8.67709870892586,0<=X<200,18,existing paid,new car,100<=X<500,1<=X<4,2,male single,none,2,car,30,none,own,2,skilled,1,yes,yes,26-35,13-24,0
1,1264.0,7.142827401161621,no checking,12,critical/other existing credit,business,no known savings,>=7,4,male single,none,4,no known property,57,none,rent,1,unskilled resident,1,none,yes,46-60,<=12,1
1,1474.0,7.29641326877392,>=200,12,existing paid,furniture/equipment,<100,<1,4,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,26-35,<=12,0
2,4746.0,8.465268118551318,0<=X<200,45,critical/other existing credit,radio/tv,<100,<1,4,male single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,18-25,37-60,0
1,6110.0,8.717845704894916,no checking,48,critical/other existing credit,education,<100,1<=X<4,1,male single,none,3,no known property,31,bank,for free,1,skilled,1,yes,yes,26-35,37-60,0
2,2100.0,7.650168700845001,>=200,18,existing paid,radio/tv,<100,1<=X<4,4,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,36-45,13-24,0
1,1225.0,7.111512116496157,>=200,10,existing paid,domestic appliance,<100,1<=X<4,2,male single,none,2,car,37,none,own,1,skilled,1,yes,yes,36-45,<=12,0
1,458.0,6.129050210060545,0<=X<200,9,existing paid,radio/tv,<100,1<=X<4,4,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,2333.0,7.755338812846501,no checking,30,existing paid,radio/tv,500<=X<1000,>=7,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes,26-35,25-36,0
1,1158.0,7.055312843339752,0<=X<200,12,existing paid,radio/tv,500<=X<1000,1<=X<4,3,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes,26-35,<=12,0
1,6204.0,8.733110697638708,0<=X<200,18,delayed previously,repairs,<100,1<=X<4,2,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,36-45,13-24,0
1,6187.0,8.730367211692958,<0,30,critical/other existing credit,used car,100<=X<500,4<=X<7,1,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,18-25,25-36,1
2,6143.0,8.723231274827508,<0,48,critical/other existing credit,used car,<100,>=7,4,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes,46-60,37-60,0
1,1393.0,7.2399325913204695,no checking,11,critical/other existing credit,new car,<100,<1,4,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes,26-35,<=12,0
1,2299.0,7.7406644019172415,no checking,36,existing paid,radio/tv,500<=X<1000,>=7,4,male single,none,4,car,39,none,own,1,skilled,1,none,yes,36-45,25-36,0
1,1352.0,7.210079628170788,<0,6,existing paid,used car,500<=X<1000,unemployed,1,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes,18-25,<=12,1
1,7228.0,8.885855993000296,no checking,11,critical/other existing credit,new car,<100,1<=X<4,1,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,36-45,<=12,0
1,2073.0,7.637234388789473,no checking,12,existing paid,radio/tv,100<=X<500,1<=X<4,4,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,2333.0,7.755338812846501,0<=X<200,24,delayed previously,furniture/equipment,no known savings,<1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,26-35,13-24,0
1,5965.0,8.693831965074693,0<=X<200,27,delayed previously,used car,<100,>=7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,26-35,25-36,0
1,1262.0,7.141245122350491,no checking,12,existing paid,radio/tv,<100,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,3378.0,8.12533508671429,no checking,18,existing paid,used car,no known savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,26-35,13-24,0
2,2225.0,7.70796153183549,0<=X<200,36,delayed previously,new car,<100,>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,46-60,25-36,0
1,783.0,6.664409020350408,no checking,6,all paid,new car,no known savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,26-35,<=12,0
2,6468.0,8.774776816043985,0<=X<200,12,existing paid,radio/tv,no known savings,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,46-60,<=12,0
1,9566.0,9.166074955678168,no checking,36,critical/other existing credit,radio/tv,<100,1<=X<4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,26-35,25-36,0
1,1961.0,7.581719640125308,>=200,18,existing paid,new car,<100,>=7,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,18-25,13-24,0
2,6229.0,8.737131611781498,<0,36,critical/other existing credit,furniture/equipment,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,18-25,25-36,1
1,1391.0,7.238496840894365,0<=X<200,9,existing paid,business,<100,1<=X<4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,26-35,<=12,0
1,1537.0,7.338238150065589,0<=X<200,15,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,46-60,13-24,0
2,1953.0,7.577633832602728,0<=X<200,36,no credits/all paid,business,<100,>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,60+,25-36,0
2,14421.0,9.576510097476705,0<=X<200,48,no credits/all paid,business,<100,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,18-25,37-60,0
1,3181.0,8.065265208897733,no checking,24,existing paid,radio/tv,<100,<1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,26-35,13-24,0
1,5190.0,8.55468163582723,no checking,27,existing paid,repairs,no known savings,>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,46-60,25-36,0
1,2171.0,7.683403681053826,no checking,12,existing paid,radio/tv,<100,<1,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,26-35,<=12,0
1,1007.0,6.915723448631314,0<=X<200,12,existing paid,new car,>=1000,1<=X<4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,18-25,<=12,0
2,1819.0,7.506591780070841,no checking,36,existing paid,education,<100,1<=X<4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,36-45,25-36,0
1,2394.0,7.781138509845015,no checking,36,existing paid,radio/tv,no known savings,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,18-25,25-36,0
1,8133.0,9.00380808646717,no checking,36,existing paid,used car,<100,1<=X<4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,26-35,25-36,0
1,730.0,6.594413459749778,no checking,7,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,46-60,<=12,1
1,1164.0,7.060476365999801,<0,8,critical/other existing credit,other,<100,>=7,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,46-60,<=12,0
1,5954.0,8.691986481789401,0<=X<200,42,critical/other existing credit,business,<100,4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,36-45,37-60,0
2,1977.0,7.589841512182657,<0,36,existing paid,education,no known savings,>=7,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,36-45,25-36,0
1,1526.0,7.3310603052186325,<0,12,critical/other existing credit,used car,<100,>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,60+,<=12,0
2,3965.0,8.285513309079741,<0,42,existing paid,radio/tv,<100,<1,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,26-35,37-60,0
1,4771.0,8.470520783217808,0<=X<200,11,delayed previously,radio/tv,<100,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,46-60,<=12,0
1,9436.0,9.152393412021333,no checking,54,no credits/all paid,used car,no known savings,1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,36-45,37-60,0
1,3832.0,8.251403065380556,0<=X<200,30,existing paid,furniture/equipment,<100,<1,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,18-25,25-36,0
2,5943.0,8.690137586397595,no checking,24,existing paid,radio/tv,no known savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,36-45,13-24,0
1,1213.0,7.101675971619444,no checking,15,existing paid,radio/tv,500<=X<1000,>=7,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,46-60,13-24,0
1,1568.0,7.358193752733032,no checking,18,existing paid,business,100<=X<500,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,18-25,13-24,1
1,1755.0,7.470793774195062,<0,24,existing paid,other,<100,>=7,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,46-60,13-24,0
1,2315.0,7.7475968386928855,<0,10,existing paid,radio/tv,<100,>=7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,46-60,<=12,0
1,1412.0,7.253470382684528,no checking,12,critical/other existing credit,business,<100,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,26-35,<=12,0
1,1295.0,7.16703787691222,0<=X<200,18,critical/other existing credit,furniture/equipment,<100,<1,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,26-35,13-24,0
2,12612.0,9.442483307087192,0<=X<200,36,existing paid,education,100<=X<500,1<=X<4,1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,46-60,25-36,0
1,2249.0,7.718685495198466,<0,18,existing paid,new car,100<=X<500,4<=X<7,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,26-35,13-24,0
2,1108.0,7.011213987350367,<0,12,no credits/all paid,repairs,<100,4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,26-35,<=12,0
1,618.0,6.428105272684596,no checking,12,critical/other existing credit,radio/tv,<100,>=7,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,46-60,<=12,0
1,1409.0,7.251344983372214,<0,12,critical/other existing credit,used car,<100,>=7,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,46-60,<=12,0
2,797.0,6.682108597449809,no checking,12,critical/other existing credit,radio/tv,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,26-35,<=12,0
1,3617.0,8.193676665955241,>=200,24,critical/other existing credit,furniture/equipment,no known savings,>=7,4,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,18-25,13-24,1
1,1318.0,7.1846291527173145,0<=X<200,12,existing paid,new car,>=1000,>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,46-60,<=12,0
2,15945.0,9.67696329306244,0<=X<200,54,no credits/all paid,business,<100,<1,3,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,46-60,37-60,1
1,2012.0,7.607381425639791,no checking,12,critical/other existing credit,education,no known savings,4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,60+,<=12,0
1,2622.0,7.872073979866873,0<=X<200,18,existing paid,business,100<=X<500,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,26-35,13-24,0
1,2337.0,7.757051142032013,0<=X<200,36,critical/other existing credit,radio/tv,<100,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,36-45,25-36,0
1,7057.0,8.861917004235215,0<=X<200,20,delayed previously,used car,no known savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,36-45,13-24,1
1,1469.0,7.293017679772782,no checking,24,existing paid,new car,100<=X<500,>=7,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,36-45,13-24,1
1,2323.0,7.751045117971802,0<=X<200,36,existing paid,radio/tv,<100,4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,18-25,25-36,1
1,932.0,6.838405200847344,no checking,6,delayed previously,radio/tv,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,18-25,<=12,0
1,1919.0,7.560080465021827,0<=X<200,9,critical/other existing credit,furniture/equipment,<100,4<=X<7,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,26-35,<=12,1
1,2445.0,7.802209316247118,no checking,12,existing paid,used car,no known savings,<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,26-35,<=12,1
2,11938.0,9.387565631345389,0<=X<200,24,critical/other existing credit,other,<100,1<=X<4,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,36-45,13-24,0
2,6458.0,8.773229786032473,no checking,18,all paid,new car,<100,>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,36-45,13-24,0
1,6078.0,8.712595487748722,0<=X<200,12,existing paid,new car,<100,4<=X<7,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,7721.0,8.951828676824181,<0,24,existing paid,furniture/equipment,no known savings,<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,26-35,13-24,0
1,1410.0,7.252053951852814,0<=X<200,14,existing paid,business,500<=X<1000,>=7,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,26-35,13-24,0
1,1449.0,7.27931883541462,0<=X<200,6,delayed previously,business,100<=X<500,>=7,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,26-35,<=12,0
1,392.0,5.973809611869261,>=200,15,existing paid,education,<100,<1,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,18-25,13-24,1
1,6260.0,8.74209519574531,0<=X<200,18,existing paid,new car,<100,4<=X<7,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,26-35,13-24,1
2,7855.0,8.969032850034301,no checking,36,critical/other existing credit,new car,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,18-25,25-36,0
1,1680.0,7.427144133408616,<0,12,existing paid,radio/tv,500<=X<1000,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,3578.0,8.182838710766026,no checking,48,critical/other existing credit,radio/tv,no known savings,>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,46-60,37-60,0
2,7174.0,8.878358040627822,<0,42,existing paid,radio/tv,no known savings,4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,26-35,37-60,0
1,2132.0,7.665284718471351,<0,10,critical/other existing credit,furniture/equipment,no known savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,26-35,<=12,1
2,4281.0,8.362175469149628,<0,33,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,18-25,25-36,0
1,2366.0,7.769378609513984,0<=X<200,12,critical/other existing credit,new car,500<=X<1000,4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,36-45,<=12,0
2,1835.0,7.515344571180436,<0,21,existing paid,radio/tv,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,18-25,13-24,0
1,3868.0,8.260751354700513,no checking,24,critical/other existing credit,used car,<100,>=7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,36-45,13-24,1
1,1768.0,7.478169694159785,no checking,12,existing paid,furniture/equipment,<100,1<=X<4,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,18-25,<=12,1
1,781.0,6.661854740545311,>=200,10,critical/other existing credit,new car,<100,>=7,4,male single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,60+,<=12,0
2,1924.0,7.562681246721884,0<=X<200,18,existing paid,furniture/equipment,no known savings,<1,4,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,26-35,13-24,1
1,2121.0,7.660114319173928,<0,12,critical/other existing credit,new car,<100,1<=X<4,4,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,26-35,<=12,0
1,701.0,6.553933404025811,<0,12,existing paid,radio/tv,<100,1<=X<4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,36-45,<=12,0
2,639.0,6.461468176353717,0<=X<200,12,existing paid,repairs,<100,1<=X<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,26-35,<=12,0
1,1860.0,7.528869256642251,0<=X<200,12,critical/other existing credit,used car,<100,unemployed,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,26-35,<=12,0
2,3499.0,8.160518247477505,<0,12,critical/other existing credit,new car,<100,1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,26-35,<=12,0
1,8487.0,9.046408680293819,0<=X<200,48,existing paid,new car,no known savings,4<=X<7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,18-25,37-60,0
2,6887.0,8.837536046107568,<0,36,delayed previously,education,<100,1<=X<4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,26-35,25-36,0
1,2708.0,7.904334842085095,no checking,15,existing paid,furniture/equipment,<100,<1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,26-35,13-24,0
1,1984.0,7.59337419312129,no checking,18,existing paid,furniture/equipment,<100,1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,46-60,13-24,0
1,10144.0,9.224736252259914,no checking,60,existing paid,radio/tv,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,18-25,37-60,0
1,1240.0,7.123672785204607,no checking,12,critical/other existing credit,radio/tv,no known savings,>=7,4,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,36-45,<=12,0
1,8613.0,9.061144065614055,no checking,27,delayed previously,used car,>=1000,1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,none,yes,26-35,25-36,0
2,766.0,6.642486801367256,0<=X<200,12,existing paid,radio/tv,500<=X<1000,1<=X<4,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,60+,<=12,0
1,2728.0,7.911690520708339,0<=X<200,15,critical/other existing credit,radio/tv,no known savings,4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,26-35,13-24,0
1,1881.0,7.540090320145325,>=200,12,existing paid,radio/tv,<100,1<=X<4,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,36-45,<=12,1
1,709.0,6.565264970035361,>=200,6,existing paid,new car,>=1000,<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,26-35,<=12,0
1,4795.0,8.475537516147405,0<=X<200,36,existing paid,radio/tv,<100,<1,4,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,26-35,25-36,0
1,3416.0,8.136518252115291,<0,27,existing paid,radio/tv,<100,1<=X<4,3,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,26-35,25-36,0
2,2462.0,7.809135398120538,<0,18,existing paid,furniture/equipment,<100,1<=X<4,2,male single,none,2,car,22,none,own,1,skilled,1,none,yes,18-25,13-24,0
1,2288.0,7.735870319952567,no checking,21,critical/other existing credit,furniture/equipment,<100,<1,4,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes,18-25,13-24,0
1,3566.0,8.17948018535889,0<=X<200,48,all paid,business,100<=X<500,4<=X<7,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,26-35,37-60,0
1,860.0,6.7580945044277305,<0,6,critical/other existing credit,new car,<100,>=7,1,female div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,yes,yes,36-45,<=12,0
1,682.0,6.52649485957079,no checking,12,critical/other existing credit,new car,100<=X<500,4<=X<7,4,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes,46-60,<=12,0
1,5371.0,8.588955557643128,<0,36,critical/other existing credit,furniture/equipment,<100,1<=X<4,3,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes,26-35,25-36,0
1,1582.0,7.367077059881012,no checking,18,critical/other existing credit,radio/tv,>=1000,>=7,4,male single,none,4,car,46,none,own,2,skilled,1,none,yes,46-60,13-24,0
1,1346.0,7.205635176410364,no checking,6,existing paid,radio/tv,100<=X<500,>=7,2,male single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes,36-45,<=12,0
1,1924.0,7.562681246721884,no checking,10,existing paid,radio/tv,<100,1<=X<4,1,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,no,36-45,<=12,0
1,5848.0,8.674025985443025,>=200,36,existing paid,radio/tv,<100,1<=X<4,4,male single,none,1,car,24,none,own,1,skilled,1,none,yes,18-25,25-36,0
