class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_per_month,age_bin,duration_bin,is_rent,credit_per_age
1,0<=X<200,24,delayed previously,furniture/equipment,2333.0,no known savings,<1,4,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,97.20833333333333,26-35,13-24,0,80.44827586206897
1,0<=X<200,27,delayed previously,used car,5965.0,<100,>=7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,220.92592592592592,26-35,25-36,0,198.83333333333334
1,no checking,12,existing paid,radio/tv,1262.0,<100,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,105.16666666666667,18-25,<=12,0,50.48
1,no checking,18,existing paid,used car,3378.0,no known savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,187.66666666666666,26-35,13-24,0,108.96774193548387
2,0<=X<200,36,delayed previously,new car,2225.0,<100,>=7,4,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes,61.80555555555556,46-60,25-36,0,39.03508771929825
1,no checking,6,all paid,new car,783.0,no known savings,1<=X<4,1,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes,130.5,26-35,<=12,0,30.115384615384617
2,0<=X<200,12,existing paid,radio/tv,6468.0,no known savings,unemployed,2,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes,539.0,46-60,<=12,0,124.38461538461539
1,no checking,36,critical/other existing credit,radio/tv,9566.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes,265.72222222222223,26-35,25-36,0,308.5806451612903
1,>=200,18,existing paid,new car,1961.0,<100,>=7,3,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes,108.94444444444444,18-25,13-24,0,85.26086956521739
2,<0,36,critical/other existing credit,furniture/equipment,6229.0,<100,<1,4,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes,173.02777777777777,18-25,25-36,1,270.82608695652175
1,0<=X<200,9,existing paid,business,1391.0,<100,1<=X<4,2,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,154.55555555555554,26-35,<=12,0,51.51851851851852
1,0<=X<200,15,critical/other existing credit,radio/tv,1537.0,no known savings,>=7,4,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,102.46666666666667,46-60,13-24,0,30.74
2,0<=X<200,36,no credits/all paid,business,1953.0,<100,>=7,4,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,54.25,60+,25-36,0,32.01639344262295
2,0<=X<200,48,no credits/all paid,business,14421.0,<100,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,300.4375,18-25,37-60,0,576.84
1,no checking,24,existing paid,radio/tv,3181.0,<100,<1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,132.54166666666666,26-35,13-24,0,122.34615384615384
1,no checking,27,existing paid,repairs,5190.0,no known savings,>=7,4,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes,192.22222222222223,46-60,25-36,0,108.125
1,no checking,12,existing paid,radio/tv,2171.0,<100,<1,2,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,180.91666666666666,26-35,<=12,0,74.86206896551724
1,0<=X<200,12,existing paid,new car,1007.0,>=1000,1<=X<4,4,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes,83.91666666666667,18-25,<=12,0,45.77272727272727
2,no checking,36,existing paid,education,1819.0,<100,1<=X<4,4,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes,50.52777777777778,36-45,25-36,0,49.16216216216216
1,no checking,36,existing paid,radio/tv,2394.0,no known savings,1<=X<4,4,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes,66.5,18-25,25-36,0,95.76
1,no checking,36,existing paid,used car,8133.0,<100,1<=X<4,1,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes,225.91666666666666,26-35,25-36,0,271.1
1,no checking,7,critical/other existing credit,radio/tv,730.0,no known savings,>=7,4,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes,104.28571428571429,46-60,<=12,1,15.869565217391305
1,<0,8,critical/other existing credit,other,1164.0,<100,>=7,3,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes,145.5,46-60,<=12,0,22.823529411764707
1,0<=X<200,42,critical/other existing credit,business,5954.0,<100,4<=X<7,2,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes,141.76190476190476,36-45,37-60,0,145.21951219512195
2,<0,36,existing paid,education,1977.0,no known savings,>=7,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,54.916666666666664,36-45,25-36,0,49.425
1,<0,12,critical/other existing credit,used car,1526.0,<100,>=7,4,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes,127.16666666666667,60+,<=12,0,23.12121212121212
2,<0,42,existing paid,radio/tv,3965.0,<100,<1,4,male single,none,3,car,34,none,own,1,skilled,1,none,yes,94.4047619047619,26-35,37-60,0,116.61764705882354
1,0<=X<200,11,delayed previously,radio/tv,4771.0,<100,4<=X<7,2,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes,433.72727272727275,46-60,<=12,0,93.54901960784314
1,no checking,54,no credits/all paid,used car,9436.0,no known savings,1<=X<4,2,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes,174.74074074074073,36-45,37-60,0,241.94871794871796
1,0<=X<200,30,existing paid,furniture/equipment,3832.0,<100,<1,2,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes,127.73333333333333,18-25,25-36,0,174.1818181818182
2,no checking,24,existing paid,radio/tv,5943.0,no known savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,247.625,36-45,13-24,0,135.0681818181818
1,no checking,15,existing paid,radio/tv,1213.0,500<=X<1000,>=7,4,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes,80.86666666666666,46-60,13-24,0,25.80851063829787
1,no checking,18,existing paid,business,1568.0,100<=X<500,1<=X<4,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes,87.11111111111111,18-25,13-24,1,65.33333333333333
1,<0,24,existing paid,other,1755.0,<100,>=7,4,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes,73.125,46-60,13-24,0,30.25862068965517
1,<0,10,existing paid,radio/tv,2315.0,<100,>=7,3,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes,231.5,46-60,<=12,0,44.51923076923077
1,no checking,12,critical/other existing credit,business,1412.0,<100,1<=X<4,4,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes,117.66666666666667,26-35,<=12,0,48.689655172413794
1,0<=X<200,18,critical/other existing credit,furniture/equipment,1295.0,<100,<1,4,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes,71.94444444444444,26-35,13-24,0,47.96296296296296
2,0<=X<200,36,existing paid,education,12612.0,100<=X<500,1<=X<4,1,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes,350.3333333333333,46-60,25-36,0,268.3404255319149
1,<0,18,existing paid,new car,2249.0,100<=X<500,4<=X<7,4,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes,124.94444444444444,26-35,13-24,0,74.96666666666667
2,<0,12,no credits/all paid,repairs,1108.0,<100,4<=X<7,4,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes,92.33333333333333,26-35,<=12,0,39.57142857142857
1,no checking,12,critical/other existing credit,radio/tv,618.0,<100,>=7,4,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes,51.5,46-60,<=12,0,11.035714285714286
1,<0,12,critical/other existing credit,used car,1409.0,<100,>=7,4,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes,117.41666666666667,46-60,<=12,0,26.09259259259259
2,no checking,12,critical/other existing credit,radio/tv,797.0,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,66.41666666666667,26-35,<=12,0,24.151515151515152
1,>=200,24,critical/other existing credit,furniture/equipment,3617.0,no known savings,>=7,4,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes,150.70833333333334,18-25,13-24,1,180.85
1,0<=X<200,12,existing paid,new car,1318.0,>=1000,>=7,4,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,109.83333333333333,46-60,<=12,0,24.40740740740741
2,0<=X<200,54,no credits/all paid,business,15945.0,<100,<1,3,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes,295.27777777777777,46-60,37-60,1,274.91379310344826
1,no checking,12,critical/other existing credit,education,2012.0,no known savings,4<=X<7,4,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes,167.66666666666666,60+,<=12,0,32.98360655737705
1,0<=X<200,18,existing paid,business,2622.0,100<=X<500,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,145.66666666666666,26-35,13-24,0,77.11764705882354
1,0<=X<200,36,critical/other existing credit,radio/tv,2337.0,<100,>=7,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,64.91666666666667,36-45,25-36,0,64.91666666666667
1,0<=X<200,20,delayed previously,used car,7057.0,no known savings,4<=X<7,3,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,352.85,36-45,13-24,1,196.02777777777777
1,no checking,24,existing paid,new car,1469.0,100<=X<500,>=7,4,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes,61.208333333333336,36-45,13-24,1,35.829268292682926
1,0<=X<200,36,existing paid,radio/tv,2323.0,<100,4<=X<7,4,male single,none,4,car,24,none,rent,1,skilled,1,none,yes,64.52777777777777,18-25,25-36,1,96.79166666666667
1,no checking,6,delayed previously,radio/tv,932.0,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes,155.33333333333334,18-25,<=12,0,38.833333333333336
1,0<=X<200,9,critical/other existing credit,furniture/equipment,1919.0,<100,4<=X<7,4,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes,213.22222222222223,26-35,<=12,1,54.82857142857143
1,no checking,12,existing paid,used car,2445.0,no known savings,<1,2,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes,203.75,26-35,<=12,1,94.03846153846153
2,0<=X<200,24,critical/other existing credit,other,11938.0,<100,1<=X<4,2,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes,497.4166666666667,36-45,13-24,0,306.1025641025641
2,no checking,18,all paid,new car,6458.0,<100,>=7,2,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes,358.77777777777777,36-45,13-24,0,165.5897435897436
1,0<=X<200,12,existing paid,new car,6078.0,<100,4<=X<7,2,male single,none,2,car,32,none,own,1,skilled,1,none,yes,506.5,26-35,<=12,0,189.9375
1,<0,24,existing paid,furniture/equipment,7721.0,no known savings,<1,1,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no,321.7083333333333,26-35,13-24,0,257.3666666666667
1,0<=X<200,14,existing paid,business,1410.0,500<=X<1000,>=7,1,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes,100.71428571428571,26-35,13-24,0,40.285714285714285
1,0<=X<200,6,delayed previously,business,1449.0,100<=X<500,>=7,1,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes,241.5,26-35,<=12,0,46.74193548387097
1,>=200,15,existing paid,education,392.0,<100,<1,4,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes,26.133333333333333,18-25,13-24,1,17.043478260869566
1,0<=X<200,18,existing paid,new car,6260.0,<100,4<=X<7,3,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes,347.77777777777777,26-35,13-24,1,223.57142857142858
2,no checking,36,critical/other existing credit,new car,7855.0,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,218.19444444444446,18-25,25-36,0,314.2
1,<0,12,existing paid,radio/tv,1680.0,500<=X<1000,>=7,3,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes,140.0,26-35,<=12,0,48.0
1,no checking,48,critical/other existing credit,radio/tv,3578.0,no known savings,>=7,4,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,74.54166666666667,46-60,37-60,0,76.12765957446808
2,<0,42,existing paid,radio/tv,7174.0,no known savings,4<=X<7,4,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,170.8095238095238,26-35,37-60,0,239.13333333333333
1,<0,10,critical/other existing credit,furniture/equipment,2132.0,no known savings,<1,2,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no,213.2,26-35,<=12,1,78.96296296296296
2,<0,33,critical/other existing credit,furniture/equipment,4281.0,500<=X<1000,1<=X<4,1,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes,129.72727272727272,18-25,25-36,0,186.1304347826087
1,0<=X<200,12,critical/other existing credit,new car,2366.0,500<=X<1000,4<=X<7,3,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,197.16666666666666,36-45,<=12,0,65.72222222222223
2,<0,21,existing paid,radio/tv,1835.0,<100,1<=X<4,3,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes,87.38095238095238,18-25,13-24,0,73.4
1,no checking,24,critical/other existing credit,used car,3868.0,<100,>=7,4,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,161.16666666666666,36-45,13-24,1,94.34146341463415
1,no checking,12,existing paid,furniture/equipment,1768.0,<100,1<=X<4,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,147.33333333333334,18-25,<=12,1,73.66666666666667
1,>=200,10,critical/other existing credit,new car,781.0,<100,>=7,4,male single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes,78.1,60+,<=12,0,12.396825396825397
2,0<=X<200,18,existing paid,furniture/equipment,1924.0,no known savings,<1,4,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes,106.88888888888889,26-35,13-24,1,71.25925925925925
1,<0,12,critical/other existing credit,new car,2121.0,<100,1<=X<4,4,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes,176.75,26-35,<=12,0,70.7
1,<0,12,existing paid,radio/tv,701.0,<100,1<=X<4,4,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes,58.416666666666664,36-45,<=12,0,17.525
2,0<=X<200,12,existing paid,repairs,639.0,<100,1<=X<4,4,male single,none,2,car,30,none,own,1,skilled,1,none,yes,53.25,26-35,<=12,0,21.3
1,0<=X<200,12,critical/other existing credit,used car,1860.0,<100,unemployed,4,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,155.0,26-35,<=12,0,54.705882352941174
2,<0,12,critical/other existing credit,new car,3499.0,<100,1<=X<4,3,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes,291.5833333333333,26-35,<=12,0,120.65517241379311
1,0<=X<200,48,existing paid,new car,8487.0,no known savings,4<=X<7,1,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes,176.8125,18-25,37-60,0,353.625
2,<0,36,delayed previously,education,6887.0,<100,1<=X<4,4,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes,191.30555555555554,26-35,25-36,0,237.48275862068965
1,no checking,15,existing paid,furniture/equipment,2708.0,<100,<1,2,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes,180.53333333333333,26-35,13-24,0,100.29629629629629
1,no checking,18,existing paid,furniture/equipment,1984.0,<100,1<=X<4,4,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes,110.22222222222223,46-60,13-24,0,42.212765957446805
1,no checking,60,existing paid,radio/tv,10144.0,100<=X<500,4<=X<7,2,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes,169.06666666666666,18-25,37-60,0,483.04761904761904
1,no checking,12,critical/other existing credit,radio/tv,1240.0,no known savings,>=7,4,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes,103.33333333333333,36-45,<=12,0,32.63157894736842
1,no checking,27,delayed previously,used car,8613.0,>=1000,1<=X<4,2,male single,none,2,car,27,none,own,2,skilled,1,none,yes,319.0,26-35,25-36,0,319.0
2,0<=X<200,12,existing paid,radio/tv,766.0,500<=X<1000,1<=X<4,4,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes,63.833333333333336,60+,<=12,0,11.606060606060606
1,0<=X<200,15,critical/other existing credit,radio/tv,2728.0,no known savings,4<=X<7,4,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,181.86666666666667,26-35,13-24,0,77.94285714285714
1,>=200,12,existing paid,radio/tv,1881.0,<100,1<=X<4,2,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes,156.75,36-45,<=12,1,42.75
1,>=200,6,existing paid,new car,709.0,>=1000,<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,118.16666666666667,26-35,<=12,0,26.25925925925926
1,0<=X<200,36,existing paid,radio/tv,4795.0,<100,<1,4,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes,133.19444444444446,26-35,25-36,0,159.83333333333334
1,<0,27,existing paid,radio/tv,3416.0,<100,1<=X<4,3,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,126.51851851851852,26-35,25-36,0,126.51851851851852
