"class","credit_amount","log_credit_amount","checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","age_bin","duration_bin","is_rent"
"1","3416",8.136518252115291,1,"27",3,6,2,0,"3",3,2,"2",0,"27",1,1,"1",0,"1",0,1,1,1,"0"
"1","3566",8.17948018535889,0,"48",0,0,0,1,"4",3,2,"2",0,"30",1,1,"1",1,"1",0,1,1,2,"0"
"1","1582",7.367077059881012,3,"18",1,6,3,3,"4",3,2,"4",0,"46",1,1,"2",1,"1",0,1,3,0,"0"
"1","1346",7.205635176410364,3,"6",3,6,0,3,"2",3,2,"4",2,"42",0,0,"1",1,"2",1,1,2,4,"0"
"1","1414",7.254884810077338,0,"8",3,6,2,0,"4",3,1,"2",3,"33",1,1,"1",1,"1",0,0,1,4,"0"
"1","2577",7.8547691834991324,1,"12",3,3,2,0,"2",1,2,"1",0,"42",1,1,"1",1,"1",0,1,2,4,"0"
"1","1963",7.582738488914411,3,"12",3,6,2,1,"4",3,2,"2",0,"31",1,2,"2",0,"2",1,1,1,4,"1"
"1","1360",7.215975002651466,3,"15",1,6,2,0,"4",3,2,"2",1,"31",1,1,"2",1,"1",0,1,1,0,"0"
"1","1175",7.069874128458572,0,"16",1,4,2,4,"2",3,2,"3",0,"68",1,0,"3",2,"1",1,1,4,0,"0"
"2","674",6.51471269087253,1,"12",3,6,0,1,"4",2,2,"1",1,"20",1,1,"1",1,"1",0,1,0,4,"0"
"2","3915",8.272826003650401,0,"27",3,0,2,0,"4",3,2,"2",0,"36",1,1,"1",1,"2",1,1,2,1,"0"
"1","2760",7.923348211930154,0,"24",3,9,4,3,"4",3,2,"4",2,"36",0,0,"1",1,"1",1,1,2,0,"0"
"1","936",6.842683282238422,3,"9",1,2,1,3,"4",3,2,"2",0,"52",1,1,"2",1,"1",1,1,3,4,"0"
"1","5117",8.540519016719735,3,"27",2,0,2,1,"3",3,2,"4",0,"26",1,1,"2",1,"1",0,1,1,1,"0"
"1","3074",8.031060180240619,3,"9",1,6,4,0,"1",3,2,"2",3,"33",1,1,"2",1,"2",0,1,1,4,"0"
"1","3835",8.252185436003328,3,"36",3,6,4,3,"2",0,2,"4",3,"45",1,1,"1",3,"1",1,1,2,1,"0"
"1","932",6.838405200847344,0,"6",1,8,4,1,"1",0,2,"3",1,"39",1,1,"2",3,"1",0,1,2,4,"0"
"1","4657",8.446341450444287,3,"15",3,9,2,0,"3",3,2,"2",0,"30",1,1,"1",1,"1",1,1,1,0,"0"
"1","866",6.7650389767805414,0,"18",3,6,2,0,"4",2,1,"2",3,"25",1,1,"1",3,"1",0,1,0,0,"0"
"2","915",6.82001636467413,1,"24",3,4,4,3,"4",0,2,"2",0,"29",0,1,"1",1,"1",0,1,1,0,"0"
"1","1595",7.375255778009755,3,"6",3,6,2,1,"3",3,2,"2",1,"51",1,1,"1",1,"2",0,1,3,4,"0"
"1","1185",7.078341579557671,3,"12",1,0,2,0,"3",0,2,"2",3,"27",1,1,"2",1,"1",0,1,1,4,"0"
"1","1204",7.094234845924755,3,"6",4,4,0,0,"4",3,2,"1",2,"35",0,2,"1",1,"1",0,0,1,4,"1"
"1","666",6.502790045915623,1,"6",1,4,3,1,"3",0,2,"4",3,"39",1,1,"2",3,"1",1,1,2,4,"0"
"1","1657",7.41336733569524,1,"12",3,3,2,0,"2",3,2,"2",3,"27",1,1,"1",1,"1",0,1,1,4,"0"
"1","1603",7.38025578842646,1,"24",3,6,2,3,"4",0,2,"4",0,"55",1,1,"1",1,"1",0,1,3,0,"0"
"1","5302",8.57602797713713,1,"18",1,4,2,3,"2",3,2,"4",2,"36",1,0,"3",0,"1",1,1,2,0,"0"
"2","802",6.688354713946762,0,"15",3,6,2,3,"4",3,2,"3",0,"37",1,1,"1",1,"2",0,1,2,0,"0"
"1","6304",8.74909824839902,3,"36",1,0,4,3,"4",3,2,"4",3,"36",1,1,"2",1,"1",0,1,2,1,"0"
"2","8978",9.102643796520807,1,"14",3,4,2,3,"1",1,2,"4",1,"45",1,1,"1",0,"1",1,0,2,0,"0"
"1","1402",7.246368080102461,3,"12",1,3,1,1,"3",0,2,"4",0,"37",1,2,"1",1,"1",1,1,2,4,"1"
"1","12169",9.406729185981574,0,"48",0,4,4,4,"4",3,0,"4",2,"36",1,0,"1",0,"1",1,1,2,2,"0"
"1","1901",7.550661243105336,3,"24",3,6,0,0,"4",3,2,"4",0,"29",1,2,"1",0,"1",1,1,1,0,"1"
"1","3878",8.263332667439967,0,"24",1,4,0,2,"4",1,2,"2",0,"37",1,1,"1",1,"1",1,1,2,0,"0"
"2","1024",6.932447891572509,1,"24",2,6,2,2,"4",2,2,"4",3,"48",2,1,"1",1,"1",0,1,3,0,"0"
"1","7629",8.939843124278502,3,"48",1,0,4,3,"4",1,2,"2",0,"46",0,1,"2",0,"2",0,1,3,2,"0"
"2","10127",9.223059144383958,3,"48",1,4,1,0,"2",3,2,"2",2,"44",0,0,"1",1,"1",0,1,2,2,"0"
"1","276",5.6240175061873385,0,"9",3,4,2,0,"4",2,2,"4",3,"22",1,2,"1",3,"1",0,1,0,4,"1"
"1","5511",8.614682812693495,3,"24",3,3,0,0,"4",3,2,"1",0,"25",2,1,"1",1,"1",0,1,0,0,"0"
"1","708",6.5638555265321274,1,"12",3,3,2,0,"2",3,1,"3",1,"38",1,1,"1",3,"2",0,1,2,4,"0"
"1","4473",8.406038142050075,2,"36",3,6,2,3,"4",3,2,"2",0,"31",1,1,"1",1,"1",0,1,1,1,"0"
"2","4110",8.321421586897879,1,"24",4,3,2,3,"3",3,2,"4",2,"23",0,2,"2",1,"2",0,1,0,0,"1"
"1","2101",7.650644551436897,0,"13",3,6,2,2,"2",0,1,"4",1,"23",1,1,"1",3,"1",0,1,0,0,"0"
"2","1275",7.151485463904735,1,"15",3,1,4,0,"4",0,2,"2",0,"24",1,2,"1",1,"1",0,1,0,0,"1"
"1","4169",8.335671314792847,1,"24",3,3,2,0,"4",3,2,"4",1,"28",1,1,"1",1,"1",0,1,1,0,"0"
"1","882",6.78332520060396,0,"13",1,6,2,2,"4",3,1,"4",3,"23",1,1,"2",1,"1",0,1,0,0,"0"
"2","1136",7.036148493750536,0,"9",1,2,3,3,"4",3,2,"3",2,"32",1,0,"2",1,"2",0,1,1,4,"0"
"2","6199",8.732304571033183,1,"12",4,6,2,0,"4",3,2,"2",1,"28",1,2,"2",1,"1",1,1,1,4,"1"
"2","2406",7.786136437783072,1,"30",3,3,2,1,"4",0,2,"4",3,"23",1,2,"1",1,"1",0,1,0,1,"1"
"1","3850",8.25608813381491,3,"18",1,9,2,1,"3",3,2,"1",0,"27",1,1,"2",1,"1",0,1,1,0,"0"
"1","3650",8.202756381655638,1,"18",3,3,2,2,"1",0,2,"4",0,"22",1,2,"1",1,"1",0,1,0,0,"1"
"1","3079",8.03268487596762,3,"36",3,4,4,0,"4",3,2,"4",3,"36",1,1,"1",1,"1",0,1,2,1,"0"
"1","2146",7.671826797878781,3,"10",1,3,2,2,"1",0,2,"3",3,"23",1,2,"2",1,"1",0,1,0,4,"1"
"1","2212",7.70210434005105,1,"20",3,3,4,1,"4",3,2,"4",0,"39",1,1,"1",1,"1",1,1,2,0,"0"
"1","1283",7.157735484249907,3,"22",3,4,4,1,"4",0,2,"4",1,"25",1,2,"1",1,"1",0,1,0,0,"1"
"1","2578",7.855157005881344,1,"12",3,3,2,4,"3",0,2,"4",2,"55",1,0,"1",0,"1",0,1,3,4,"0"
"2","1223",7.1098794630722715,0,"12",3,4,2,3,"1",1,2,"1",3,"46",1,2,"2",1,"1",0,1,3,4,"1"
"2","8648",9.065198986306513,3,"24",2,0,2,2,"2",3,2,"2",0,"27",0,1,"2",1,"1",1,1,1,0,"0"
"2","2039",7.620705086838262,0,"24",3,6,2,2,"1",2,2,"1",1,"22",1,1,"1",1,"1",1,1,0,0,"0"
"1","2197",7.6953031349635665,3,"24",1,9,4,1,"4",3,2,"4",0,"43",1,1,"2",1,"2",1,1,2,0,"0"
"2","939",6.84587987526405,2,"12",1,4,1,1,"4",2,2,"2",3,"28",1,1,"3",1,"1",1,1,1,4,"0"
"1","1967",7.584773077612199,0,"24",3,6,2,3,"4",0,2,"4",0,"20",1,1,"1",1,"1",1,1,0,0,"0"
"2","2292",7.737616282857904,3,"12",1,0,2,4,"4",3,2,"2",0,"42",2,1,"2",0,"1",1,1,2,4,"0"
"1","1597",7.37650812632622,3,"10",3,4,1,0,"3",3,2,"2",2,"40",1,2,"1",3,"2",0,0,2,4,"1"
"2","2579",7.855544677915663,1,"12",3,4,2,2,"4",3,2,"1",3,"33",1,1,"1",3,"2",0,1,1,4,"0"
"1","958",6.8658910748834385,0,"12",1,4,2,1,"2",3,2,"3",3,"47",1,1,"2",3,"2",0,1,3,4,"0"
"1","2779",7.930206206684683,0,"18",3,9,2,0,"1",2,2,"3",0,"21",1,2,"1",1,"1",1,1,0,0,"1"
"1","1313",7.1808311990445555,3,"9",3,3,2,3,"1",3,2,"4",0,"20",1,1,"1",1,"1",0,1,0,4,"0"
"1","3448",8.145839612936841,3,"5",3,0,2,1,"1",3,2,"4",3,"74",1,1,"1",3,"1",0,1,4,4,"0"
"2","11328",9.335121088873487,0,"24",3,5,2,0,"2",3,0,"3",0,"29",0,1,"2",0,"1",1,1,1,0,"0"
"1","2058",7.629975707027789,3,"24",1,7,2,0,"4",1,2,"2",3,"33",1,1,"2",1,"1",1,1,1,0,"0"
"2","1484",7.3031700512368,0,"12",3,6,4,0,"2",2,2,"1",3,"25",1,1,"1",1,"1",1,1,0,4,"0"
"1","1884",7.541683099882111,3,"12",3,4,2,3,"4",3,2,"4",0,"39",1,1,"1",0,"1",1,1,2,4,"0"
"2","5096",8.536407410340042,0,"48",1,3,2,0,"2",0,2,"3",0,"30",1,1,"1",0,"1",1,1,1,2,"0"
"1","1424",7.261927092702751,2,"12",3,3,4,3,"3",0,2,"4",3,"55",1,1,"1",0,"1",1,1,3,4,"0"
"2","4817",8.480114183174816,1,"24",3,4,2,1,"2",3,0,"3",1,"31",1,1,"1",1,"1",1,1,1,0,"0"
"1","3620",8.19450550976564,1,"36",3,3,2,0,"1",3,1,"2",1,"37",1,1,"1",1,"2",0,1,2,1,"0"
"1","1721",7.451241684987676,1,"15",3,4,2,2,"2",3,2,"3",3,"36",1,1,"1",1,"1",0,1,2,0,"0"
"1","2924",7.981049759665957,1,"24",3,9,2,0,"3",3,1,"4",2,"63",0,1,"1",1,"2",1,1,4,0,"0"
"1","4679",8.451053388911692,3,"24",2,9,2,1,"3",3,2,"3",0,"35",1,1,"2",3,"1",1,1,1,0,"0"
"1","2569",7.851661177889265,3,"39",3,9,1,0,"4",3,2,"4",0,"24",1,1,"1",1,"1",0,1,0,2,"0"
"1","1201",7.091742115095153,0,"24",3,4,2,2,"4",3,2,"1",1,"26",1,1,"1",1,"1",0,1,1,0,"0"
"1","3077",8.032035314398824,3,"12",3,6,2,0,"2",3,2,"4",0,"52",1,1,"1",1,"1",1,1,3,4,"0"
"2","8318",9.026297334283887,0,"27",4,0,2,3,"2",0,2,"4",2,"42",1,0,"2",0,"1",1,1,2,1,"0"
"1","2687",7.89655270164304,2,"15",3,0,2,1,"2",3,2,"4",1,"26",1,2,"1",1,"1",1,1,1,0,"1"
"1","609",6.413458957167357,1,"6",1,4,2,1,"4",0,2,"3",1,"37",1,1,"2",1,"1",0,0,2,4,"0"
"1","1361",7.216709486709457,1,"6",1,4,2,2,"2",3,2,"4",3,"40",1,1,"1",3,"2",0,0,2,4,"0"
"2","7127",8.871785969150645,3,"36",1,3,2,2,"2",0,2,"4",1,"23",1,2,"2",1,"1",1,1,0,1,"1"
"1","1203",7.093404625868766,1,"6",3,4,0,3,"3",3,2,"2",1,"43",1,1,"1",1,"1",1,1,2,4,"0"
"1","3488",8.157370441186774,3,"24",3,9,0,1,"3",0,2,"4",0,"23",1,1,"1",1,"1",0,1,0,0,"0"
"1","662",6.4967749901858625,1,"6",3,4,2,2,"3",3,2,"4",3,"41",1,1,"1",3,"2",1,1,2,4,"0"
"2","2631",7.875499292445208,0,"15",3,4,0,0,"2",0,2,"4",0,"28",1,2,"2",1,"1",1,1,1,0,"1"
"2","7763",8.957252944288902,1,"48",3,4,2,3,"4",3,2,"4",2,"42",0,0,"1",0,"1",0,1,2,2,"0"
"1","1255",7.135687347028144,3,"12",1,4,2,3,"4",3,2,"4",3,"61",1,1,"2",3,"1",0,1,4,4,"0"
"1","2964",7.994632311431825,1,"24",3,9,4,3,"4",3,2,"4",2,"49",0,0,"1",1,"2",1,1,3,0,"0"
"1","5954",8.691986481789401,3,"30",1,6,2,1,"3",3,0,"2",0,"38",1,1,"1",1,"1",0,1,2,1,"0"
"1","1927",7.564238475170491,3,"24",1,2,4,0,"3",0,2,"2",0,"33",1,1,"2",1,"1",1,1,1,0,"0"
"1","937",6.843749949006225,3,"24",3,8,2,2,"4",2,2,"3",0,"27",1,1,"2",3,"1",0,1,1,0,"0"
"2","1056",6.963189985870238,0,"18",1,4,2,3,"3",3,1,"3",3,"30",0,1,"2",1,"1",0,1,1,0,"0"
"2","1358",7.214504414151143,1,"24",0,5,4,3,"4",3,2,"3",0,"40",2,1,"1",0,"1",1,1,2,0,"0"
"1","1275",7.151485463904735,2,"10",3,3,2,2,"4",0,2,"2",1,"23",1,1,"1",1,"1",0,1,0,4,"0"
"1","2828",7.947678571301568,1,"24",0,3,1,0,"4",3,2,"4",3,"22",2,1,"1",1,"1",1,1,0,0,"0"
"1","9157",9.12238309321704,0,"60",2,6,4,0,"2",3,2,"2",2,"27",1,0,"1",0,"1",0,1,1,2,"0"
"2","3441",8.143807976771484,0,"30",3,3,0,0,"2",0,0,"4",0,"21",1,2,"1",1,"1",0,1,0,1,"1"
"1","1858",7.527793987721444,1,"12",3,3,2,2,"4",0,2,"1",0,"22",1,2,"1",1,"1",0,1,0,4,"1"
"2","1437",7.271008538280992,0,"9",0,4,0,1,"2",3,2,"3",2,"29",1,1,"1",1,"1",0,1,1,4,"0"
"1","1393",7.239932591320469,3,"12",3,2,2,3,"4",3,2,"4",1,"47",0,1,"3",1,"2",1,1,3,4,"0"
"2","947",6.854354502255021,2,"24",3,4,2,1,"4",3,2,"3",2,"38",0,0,"1",1,"2",0,1,2,0,"0"
"1","7476",8.919586920999915,1,"48",3,2,2,1,"4",3,2,"1",2,"50",1,0,"1",0,"1",1,1,3,2,"0"
"1","3973",8.287528423111763,1,"14",3,4,2,4,"1",3,2,"4",2,"22",1,0,"1",1,"1",0,1,0,0,"0"
"2","900",6.803505257608338,1,"12",3,4,4,0,"4",2,2,"2",0,"23",1,1,"1",1,"1",0,1,0,4,"0"
"1","1047",6.954638864880987,2,"6",1,2,2,0,"2",0,2,"4",1,"50",1,1,"1",3,"1",0,1,3,4,"0"
"1","3496",8.159660737063376,0,"30",0,3,3,0,"4",3,2,"2",0,"34",2,1,"1",1,"2",1,1,1,1,"0"
"1","4139",8.32845106681936,3,"24",1,0,0,0,"3",3,2,"3",1,"27",1,1,"2",3,"1",1,1,1,0,"0"
"1","2384",7.776954403322442,1,"24",3,6,2,3,"4",3,2,"4",3,"64",0,2,"1",3,"1",0,1,4,0,"1"
"1","1538",7.338888133838879,3,"6",3,2,2,2,"1",0,2,"2",2,"56",1,1,"1",1,"1",0,1,3,4,"0"
"1","6527",8.783855896643942,3,"60",3,4,4,0,"4",3,2,"4",2,"34",1,0,"1",1,"2",1,1,1,2,"0"
"1","2862",7.959625305098115,0,"36",2,4,0,3,"4",3,2,"3",2,"30",1,0,"1",1,"1",0,1,1,1,"0"
"1","4716",8.458928283284262,1,"6",1,4,4,2,"1",3,2,"3",3,"44",1,1,"2",3,"2",0,1,2,4,"0"
"1","2284",7.734121303328305,3,"24",3,6,2,1,"4",3,2,"2",0,"28",1,1,"1",1,"1",1,1,1,0,"0"
"1","1236",7.1204443723924875,3,"6",3,9,1,0,"2",3,2,"4",1,"50",1,2,"1",1,"1",0,1,3,4,"1"
"1","1800",7.496097345175956,3,"18",1,6,2,0,"4",3,2,"2",0,"24",1,1,"2",1,"1",0,1,0,0,"0"
"1","1905",7.552762084214147,2,"15",3,2,2,3,"4",3,2,"4",0,"40",1,2,"1",0,"1",1,1,2,0,"1"
"1","2503",7.825644732219989,0,"30",2,0,0,3,"4",3,2,"2",1,"41",2,1,"2",1,"1",0,1,2,1,"0"
"1","629",6.4457198193855785,3,"18",1,6,1,3,"4",3,2,"3",1,"32",0,1,"2",0,"1",1,1,1,0,"0"
"1","3077",8.032035314398824,3,"30",1,6,4,3,"3",3,2,"2",0,"40",1,1,"2",1,"2",1,1,2,1,"0"
"1","1505",7.317212408359839,3,"18",3,6,2,0,"4",3,2,"2",2,"32",1,0,"1",0,"1",1,1,1,0,"0"
"2","6416",8.766705997750515,0,"48",0,0,2,3,"4",0,2,"3",2,"59",1,2,"1",1,"1",0,1,3,2,"1"
"1","2603",7.86480400332846,3,"24",3,9,3,0,"2",0,2,"4",0,"28",1,2,"1",1,"1",1,1,1,0,"1"
"1","3380",8.125926802707886,3,"4",1,4,2,1,"1",0,2,"1",3,"37",1,1,"1",1,"2",0,1,2,4,"0"
"1","2483",7.81762544305337,1,"24",0,3,1,0,"4",3,2,"4",3,"22",2,1,"1",1,"1",1,1,0,0,"0"
"1","1797",7.494430215031565,1,"13",1,0,2,2,"3",3,2,"1",1,"28",0,1,"2",3,"1",0,1,1,0,"0"
"1","2511",7.828834527588089,1,"15",3,4,2,4,"1",0,2,"4",0,"23",1,2,"1",1,"1",0,1,0,0,"1"
"1","428",6.061456918928017,1,"6",3,3,2,3,"2",0,2,"1",1,"49",0,1,"1",1,"1",1,1,3,4,"0"
"2","1555",7.349873704738337,3,"12",2,7,3,3,"4",3,2,"4",2,"55",1,0,"2",1,"2",0,1,3,4,"0"
"2","1285",7.1592919047975645,1,"24",3,4,4,1,"4",0,2,"4",2,"32",1,2,"1",1,"1",0,1,1,0,"1"
"1","1155",7.052721049232323,0,"12",3,6,2,3,"3",2,1,"3",3,"40",0,1,"2",3,"1",0,1,2,4,"0"
"1","3509",8.163371316459912,1,"18",3,6,2,1,"4",0,1,"1",3,"25",1,1,"1",1,"1",0,1,0,0,"0"
"1","1410",7.252053951852814,0,"12",4,8,2,0,"2",3,2,"2",3,"31",1,1,"1",3,"1",1,1,1,4,"0"
"1","6468",8.774776816043985,0,"20",3,9,4,4,"1",1,2,"4",3,"60",1,1,"1",0,"1",1,1,3,0,"0"
"1","2751",7.920083199053234,3,"48",1,9,4,3,"4",3,2,"3",0,"38",1,1,"2",1,"2",1,1,2,2,"0"
"2","1188",7.080867896690782,0,"21",3,0,2,3,"2",0,2,"4",1,"39",1,1,"1",1,"2",0,1,2,0,"0"
"1","6313",8.750524669117937,3,"24",3,9,4,3,"3",3,2,"4",0,"41",1,1,"1",0,"2",1,1,2,0,"0"
"1","7472",8.91905180393029,0,"12",3,4,4,4,"1",0,2,"2",3,"24",1,2,"1",2,"1",0,1,0,4,"1"
"1","930",6.836259277277067,3,"12",1,6,4,3,"4",3,2,"4",3,"65",1,1,"4",1,"1",0,1,4,4,"0"
"2","1778",7.483806687665835,0,"15",4,4,2,2,"2",0,2,"1",3,"26",1,2,"2",2,"1",0,1,1,0,"1"
"2","9629",9.172638504792172,1,"36",1,9,2,1,"4",3,2,"4",0,"24",1,1,"2",1,"1",1,1,0,1,"0"
"1","1338",7.199678345691172,3,"6",3,1,1,0,"1",1,2,"4",3,"62",1,1,"1",1,"1",0,1,4,4,"0"
"1","1554",7.349230824613334,3,"6",1,6,2,1,"1",0,2,"2",0,"24",1,2,"2",1,"1",1,1,0,4,"1"
"2","2712",7.905810312658931,1,"36",3,3,2,3,"2",3,2,"2",1,"41",0,1,"1",1,"2",0,1,2,1,"0"
"1","2375",7.773173680482536,3,"24",2,0,1,0,"4",3,2,"2",0,"44",1,1,"2",1,"2",1,1,2,0,"0"
"2","2327",7.752764808851328,2,"15",3,6,2,2,"2",0,2,"3",3,"25",1,1,"1",3,"1",0,1,0,0,"0"
"2","1082",6.9874902470009905,1,"12",4,4,2,0,"4",3,2,"4",0,"48",0,1,"2",1,"1",0,1,3,4,"0"
"2","1943",7.572502985020384,3,"18",3,7,2,2,"4",0,2,"4",3,"23",1,1,"1",1,"1",0,1,0,0,"0"
"1","4042",8.304742269640771,3,"24",1,9,4,1,"3",3,2,"4",1,"43",1,1,"2",1,"1",1,1,2,0,"0"
"1","1471",7.294377299288821,3,"15",1,6,2,0,"4",3,2,"4",2,"35",1,0,"2",1,"1",1,1,1,0,"0"
"1","10875",9.294313805752362,3,"36",2,4,2,3,"2",3,2,"2",0,"45",1,1,"2",1,"2",1,1,2,1,"0"
"1","3577",8.182559264068665,3,"9",3,4,0,0,"1",3,1,"2",3,"26",1,2,"1",1,"2",0,0,1,4,"1"
"1","3595",8.18757739559151,3,"36",3,6,2,3,"4",3,2,"2",0,"28",1,1,"1",1,"1",0,1,1,1,"0"
"1","2181",7.687997166393016,0,"30",1,4,4,3,"4",3,2,"4",3,"36",1,1,"2",1,"1",0,1,2,1,"0"
"1","6614",8.797095076549056,3,"36",1,4,2,3,"4",3,2,"4",0,"34",1,1,"2",0,"1",1,1,1,1,"0"
"1","8947",9.09918532261002,3,"36",2,9,4,1,"3",3,2,"2",0,"31",2,1,"1",0,"2",1,1,1,1,"0"
"1","1592",7.373374309910049,3,"12",1,3,3,1,"3",0,2,"2",1,"35",1,1,"1",1,"1",0,0,1,4,"0"
"2","2625",7.873217054862741,1,"16",1,4,2,3,"2",3,1,"4",1,"43",0,2,"1",1,"1",1,1,2,0,"1"
"1","3763",8.23323750070527,1,"21",3,4,4,1,"2",3,0,"2",3,"24",1,1,"1",3,"1",0,0,0,0,"0"
"2","2359",7.766416898019656,1,"24",3,3,0,4,"1",1,2,"1",1,"33",1,1,"1",1,"1",0,1,1,0,"0"
"1","1817",7.505492274737424,3,"18",1,3,2,0,"4",0,2,"2",2,"28",1,1,"2",1,"1",0,1,1,0,"0"
"1","12749",9.453286550586572,3,"48",2,6,1,1,"4",3,2,"1",0,"37",1,1,"1",0,"1",1,1,2,2,"0"
"1","1049",6.956545443151569,1,"18",1,3,2,2,"4",0,2,"4",1,"21",1,2,"1",1,"1",0,1,0,0,"1"
"1","1867",7.532623618788788,3,"30",3,6,4,3,"4",3,2,"4",0,"58",1,1,"1",1,"1",1,1,3,1,"0"
"2","1670",7.421177528595393,0,"9",3,6,2,2,"4",0,2,"2",0,"22",1,1,"1",1,"1",1,1,0,4,"0"
"1","522",6.259581464064923,3,"12",1,6,1,3,"4",3,2,"4",1,"42",1,1,"2",1,"2",1,1,2,4,"0"
"1","3527",8.168486417126681,3,"12",3,4,4,2,"2",3,2,"3",1,"45",1,1,"1",0,"2",1,1,2,4,"0"
"2","4113",8.322151070212902,0,"24",3,9,1,2,"3",0,2,"4",0,"28",1,2,"1",1,"1",0,1,1,0,"1"
"2","10974",9.303375237943373,3,"36",3,3,2,4,"4",0,2,"2",0,"26",1,1,"2",0,"1",1,1,1,1,"0"
"1","3556",8.176672771948455,3,"15",3,4,4,0,"3",3,2,"2",2,"29",1,1,"1",1,"1",0,1,1,0,"0"
"2","2397",7.7823903355874595,3,"24",3,6,1,3,"3",3,2,"2",0,"35",0,1,"2",1,"1",1,1,1,0,"0"
"1","1715",7.447751280047908,0,"30",3,6,4,0,"4",0,2,"1",0,"26",1,1,"1",1,"1",0,1,1,1,"0"
"1","7166",8.877242435993919,3,"42",3,6,4,1,"2",2,2,"4",1,"29",1,2,"1",1,"1",1,1,1,2,"1"
"2","7297",8.895355616996392,1,"60",3,0,2,3,"4",3,0,"4",2,"36",1,2,"1",1,"1",0,1,2,2,"1"
"1","753",6.625392368007956,0,"6",3,6,2,0,"2",0,1,"3",3,"64",1,1,"1",1,"1",0,1,4,4,"0"
"2","2538",7.839525581704678,3,"24",2,4,2,3,"4",3,2,"4",0,"47",1,1,"2",3,"2",0,1,3,0,"0"
